"entr_tag_id","entr_tag_name","logical_node","sensor_name","presentation_name","si_unit","value_type","data_type","collector_type"
"2258","WTUR.DmdWSpt","WTUR.","DmdWSpt","Active power setpoint","W","Setpoint","Double","Live Value"
"2259","WTUR.DmdWSpt_10m_Avg","WTUR.","DmdWSpt_10m_Avg","Active power setpoint","W","Setpoint","Double","10 minute tag"
"2260","WTUR.DmdWSpt_10m_End","WTUR.","DmdWSpt_10m_End","Active power setpoint","W","Endvalue","Double","10 minute tag"
"2261","WTUR.DmdWSpt_10m_Max","WTUR.","DmdWSpt_10m_Max","Active power setpoint","W","Setpoint","Double","10 minute tag"
"2262","WTUR.DmdWSpt_10m_Min","WTUR.","DmdWSpt_10m_Min","Active power setpoint","W","Setpoint","Double","10 minute tag"
"2263","WTUR.DmdWSpt_10m_Std","WTUR.","DmdWSpt_10m_Std","Active power setpoint","W","Setpoint","Double","10 minute tag"
"2264","WTUR.DmdWSptSrc_10m_Avg","WTUR.","DmdWSptSrc_10m_Avg","Active power setpoint source","W","Average","Double","10 minute tag"
"2265","WTUR.DmdWSrc","WTUR.","DmdWSrc","Turbine active power generation setpoint source","Enum","Live Value","Long","Live Value"
"2266","WTUR.DnTms","WTUR.","DnTms","Total downtime","seconds","Total Counter","Long","Live Value"
"2267","WTUR.DnTms_10m_End","WTUR.","DnTms_10m_End","Total downtime","seconds","Endvalue","Long","10 minute tag"
"2268","WTUR.DnTms_10m_Sum","WTUR.","DnTms_10m_Sum","Total downtime","seconds","Summation","Long","10 minute tag"
"2269","WTUR.DnTms_Dly_Sum","WTUR.","DnTms_Dly_Sum","Total downtime","seconds","Summation","Long","Daily tag"
"2270","WTUR.DnTms_Mly_Sum","WTUR.","DnTms_Mly_Sum","Total downtime","seconds","Summation","Long","Monthly tag"
"2271","WTUR.DnTms_Yly_Sum","WTUR.","DnTms_Yly_Sum","Total downtime","seconds","Summation","Long","Yearly tag"
"2272","WTUR.EnvDnTms","WTUR.","EnvDnTms","Downtime due to Ambient/Environment","seconds","Total Counter","Long","Live Value"
"2273","WTUR.EnvDnTms_10m_End","WTUR.","EnvDnTms_10m_End","Downtime due to Ambient/Environment","seconds","Endvalue","Long","10 minute tag"
"2274","WTUR.EnvDnTms_10m_Sum","WTUR.","EnvDnTms_10m_Sum","Downtime due to Ambient/Environment","seconds","Summation","Long","10 minute tag"
"2275","WTUR.EnvDnTms_Dly_Sum","WTUR.","EnvDnTms_Dly_Sum","Downtime due to Ambient/Environment","seconds","Summation","Long","Daily tag"
"2276","WTUR.EnvDnTms_Mly_Sum","WTUR.","EnvDnTms_Mly_Sum","Downtime due to Ambient/Environment","seconds","Summation","Long","Monthly tag"
"2277","WTUR.EnvDnTms_Yly_Sum","WTUR.","EnvDnTms_Yly_Sum","Downtime due to Ambient/Environment","seconds","Summation","Long","Yearly tag"
"2278","WTUR.EnvOkTms","WTUR.","EnvOkTms","Environment/Ambient Ok time","seconds","Total Counter","Long","Live Value"
"2279","WTUR.EnvOkTms_10m_End","WTUR.","EnvOkTms_10m_End","Environment/Ambient Ok time","seconds","Total Counter","Long","10 minute tag"
"2280","WTUR.EnvOkTms_10m_Sum","WTUR.","EnvOkTms_10m_Sum","Environment/Ambient Ok time","seconds","Summation","Long","10 minute tag"
"2281","WTUR.EnvOkTms_Mly_Sum","WTUR.","EnvOkTms_Mly_Sum","Environment/Ambient Ok time","seconds","Summation","Long","Monthly tag"
"2282","WTUR.ExpW","WTUR.","ExpW","ActivePowerOutPWC_kW","W","Live Value","Double","Live Value"
"2283","WTUR.ExpWh","WTUR.","ExpWh","Expected active energy production","Wh","Total Counter","Double","Live Value"
"2284","WTUR.ExpWh_Dly_Sum","WTUR.","ExpWh_Dly_Sum","Expected active energy production","Wh","Summation","Double","Daily tag"
"2285","WTUR.ExpWh_Hly_Sum","WTUR.","ExpWh_Hly_Sum","Expected active energy production","Wh","Summation","Double","Live Value"
"2286","WTUR.ExpWh_Mly_Sum","WTUR.","ExpWh_Mly_Sum","Expected active energy production","Wh","Summation","Double","Monthly tag"
"2287","WTUR.ExpWh_Yly_Sum","WTUR.","ExpWh_Yly_Sum","Expected active energy production","Wh","Summation","Double","Yearly tag"
"2288","WTUR.ExpWRef","WTUR.","ExpWRef","ActivePowerOutPWCSell_kW","W","Live Value","Double","Live Value"
"2289","WTUR.ExStopDnTms","WTUR.","ExStopDnTms","Downtime due external stop","seconds","Total Counter","Long","Live Value"
"2290","WTUR.ExStopDnTms_10m_End","WTUR.","ExStopDnTms_10m_End","Downtime due external stop","seconds","Endvalue","Long","10 minute tag"
"2291","WTUR.ExStopDnTms_10m_Sum","WTUR.","ExStopDnTms_10m_Sum","Downtime due external stop","seconds","Summation","Long","10 minute tag"
"2292","WTUR.ExStopDnTms_Dly_Sum","WTUR.","ExStopDnTms_Dly_Sum","Downtime due external stop","seconds","Summation","Long","Daily tag"
